file_path,sonar_issue_count,highest_severity,severity_breakdown,type_breakdown
src/frontend/src/primitives/Dialog.tsx,2,MAJOR,"MINOR:1, MAJOR:1",CODE_SMELL:2
src/frontend/src/features/layout/components/PaginationIndicator.tsx,2,MAJOR,MAJOR:2,CODE_SMELL:2
src/backend/core/api/viewsets.py,2,CRITICAL,"MAJOR:1, CRITICAL:1",CODE_SMELL:2
src/backend/core/tests/test_api_resource_accesses.py,2,CRITICAL,CRITICAL:2,CODE_SMELL:2
src/frontend/src/primitives/MenuList.tsx,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/utils/parseLineBreaks.tsx,2,MAJOR,MAJOR:2,CODE_SMELL:2
src/frontend/src/utils/livekit.ts,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/stores/screenReaderAnnouncer.ts,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/primitives/Tabs.tsx,2,MAJOR,MAJOR:2,CODE_SMELL:2
src/frontend/src/features/shortcuts/useKeyboardShortcuts.ts,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/features/settings/components/tabs/VideoTab.tsx,2,MAJOR,"MINOR:1, MAJOR:1",CODE_SMELL:2
src/frontend/src/features/rooms/livekit/components/effects/FunnyEffects.tsx,2,CRITICAL,"MAJOR:1, CRITICAL:1",CODE_SMELL:2
src/frontend/src/features/rooms/livekit/components/ParticipantTile.tsx,2,MAJOR,MAJOR:2,CODE_SMELL:2
src/frontend/src/features/rooms/livekit/components/ScreenShareErrorModal.tsx,2,MINOR,"MINOR:1, INFO:1",CODE_SMELL:2
src/frontend/src/features/rooms/routes/Room.tsx,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/features/home/components/LaterMeetingDialog.tsx,2,CRITICAL,"MAJOR:1, CRITICAL:1",CODE_SMELL:2
src/frontend/src/features/home/routes/Home.tsx,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/features/rooms/livekit/prefabs/VideoConference.tsx,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/features/reactions/components/ReactionPortals.tsx,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/features/rooms/components/Rating.tsx,2,MAJOR,"MINOR:1, MAJOR:1",CODE_SMELL:2
src/frontend/src/features/rooms/components/InviteDialog.tsx,2,CRITICAL,"MAJOR:1, CRITICAL:1",CODE_SMELL:2
src/frontend/src/features/sdk/utils/PopupManager.ts,2,MINOR,MINOR:2,CODE_SMELL:2
src/frontend/src/features/rooms/livekit/hooks/usePublishSourcesManager.ts,2,MAJOR,"MINOR:1, MAJOR:1",CODE_SMELL:2
src/frontend/src/features/settings/components/tabs/NotificationsTab.tsx,2,MAJOR,MAJOR:2,CODE_SMELL:2
Dockerfile,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/App.tsx,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/backend/core/services/participants_management.py,1,CRITICAL,CRITICAL:1,CODE_SMELL:1
src/backend/core/migrations/0014_room_pin_code.py,1,MINOR,MINOR:1,CODE_SMELL:1
src/backend/core/services/lobby.py,1,BLOCKER,BLOCKER:1,CODE_SMELL:1
src/agents/metadata_collector.py,1,MAJOR,MAJOR:1,CODE_SMELL:1
bin/buildpack_postfrontend.sh,1,MAJOR,MAJOR:1,CODE_SMELL:1
src/backend/core/admin.py,1,MINOR,MINOR:1,CODE_SMELL:1
src/backend/core/external_api/permissions.py,1,BLOCKER,BLOCKER:1,CODE_SMELL:1
src/frontend/src/features/rooms/utils/isRoomValid.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/controls/Options/TranscriptMenuItem.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/controls/Options/OptionsMenuItems.tsx,1,INFO,INFO:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/chat/Input.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/rooms/livekit/components/controls/StartMediaButton.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/features/auth/utils/authUrl.ts,1,MINOR,MINOR:1,CODE_SMELL:1
src/frontend/src/components/NotFoundScreen.tsx,1,MINOR,MINOR:1,CODE_SMELL:1
